Status de compra,Fecha de compra,Nombre activo,Símbolo activo,Categoría activo,Aporte en dólares,Acciones compradas
completada,2024-05-23,Dell Technologies Inc,DELL,stock,"10,00","0,065091453"
completada,2024-05-23,NVIDIA Corp,NVDA,stock,"10,00","0,009656517"
completada,2024-05-23,Advanced Micro Devices Inc,AMD,stock,"10,00","0,062982604"
completada,2024-05-29,Advanced Micro Devices Inc,AMD,stock,"10,00","0,060388661"
completada,2024-05-30,Dell Technologies Inc,DELL,stock,"20,00","0,117726004"
completada,2024-05-30,Dell Technologies Inc,DELL,stock,"10,00","0,059968576"
completada,2024-05-30,Tesla Inc,TSLA,stock,"10,00","0,056248031"
completada,2024-05-30,Alphabet Inc,GOOG,stock,"10,00","0,057594397"
completada,2024-05-31,Dell Technologies Inc,DELL,stock,"10,00","0,072261644"
completada,2024-05-31,Amazon.com Inc,AMZN,stock,"10,00","0,056690627"
completada,2024-05-31,Dell Technologies Inc,DELL,stock,"30,00","0,217192997"
completada,2024-05-31,NVIDIA Corp,NVDA,stock,"10,00","0,009148109"
completada,2024-05-31,Meta Platforms Inc,META,stock,"10,00","0,021938388"
completada,2024-05-31,Dell Technologies Inc,DELL,stock,"10,00","0,074145473"
completada,2024-05-31,Advanced Micro Devices Inc,AMD,stock,"10,00","0,061599112"
completada,2024-05-31,Tesla Inc,TSLA,stock,"10,00","0,057363789"
completada,2024-05-31,Dell Technologies Inc,DELL,stock,"10,00","0,075669294"
completada,2024-05-31,Dell Technologies Inc,DELL,stock,"10,00","0,072667025"
completada,2024-06-03,Advanced Micro Devices Inc,AMD,stock,"10,00","0,061806989"
completada,2024-06-03,Tesla Inc,TSLA,stock,"10,00","0,056794302"
completada,2024-06-04,Avis Budget Group Inc,CAR,stock,"10,00","0,090059258"
completada,2024-06-06,NVIDIA Corp,NVDA,stock,"20,00","0,015990252"
completada,2024-06-06,Dell Technologies Inc,DELL,stock,"10,00","0,075197016"
completada,2024-06-06,NVIDIA Corp,NVDA,stock,"10,00","0,008239227"
completada,2024-06-06,Avis Budget Group Inc,CAR,stock,"10,00","0,092881557"
completada,2024-06-10,Advanced Micro Devices Inc,AMD,stock,"10,00","0,061205503"
completada,2024-06-10,Alphabet Inc,GOOG,stock,"10,00","0,057133715"
completada,2024-06-11,Advanced Micro Devices Inc,AMD,stock,"10,00","0,062732895"
completada,2024-06-11,Tesla Inc,TSLA,stock,"10,00","0,059131709"
completada,2024-06-11,Avis Budget Group Inc,CAR,stock,"10,00","0,09496135"
completada,2024-06-12,Alphabet Inc,GOOG,stock,"10,00","0,055244345"
completada,2024-06-12,Dell Technologies Inc,DELL,stock,"10,00","0,076768359"
completada,2024-06-13,Alphabet Inc,GOOG,stock,"10,00","0,056439141"
completada,2024-06-13,Avis Budget Group Inc,CAR,stock,"10,00","0,092568593"
completada,2024-06-13,Tesla Inc,TSLA,stock,"10,00","0,054333652"
completada,2024-06-13,Apple Inc,AAPL,stock,"10,00","0,046802018"
completada,2024-06-13,Amazon.com Inc,AMZN,stock,"10,00","0,054281154"
completada,2024-06-14,Avis Budget Group Inc,CAR,stock,"10,00","0,095161965"
completada,2024-06-14,Tesla Inc,TSLA,stock,"10,00","0,055824754"
completada,2024-06-14,Dell Technologies Inc,DELL,stock,"10,00","0,075094243"
completada,2024-06-17,Meta Platforms Inc,META,stock,"10,00","0,020130283"
completada,2024-06-17,Advanced Micro Devices Inc,AMD,stock,"10,00","0,064678032"
completada,2024-06-18,Tesla Inc,TSLA,stock,"10,00","0,054101429"
completada,2024-06-18,Apple Inc,AAPL,stock,"10,00","0,046873974"
completada,2024-06-18,Advanced Micro Devices Inc,AMD,stock,"10,00","0,065042342"
completada,2024-06-18,Meta Platforms Inc,META,stock,"10,00","0,020070729"
completada,2024-06-18,Dell Technologies Inc,DELL,stock,"10,00","0,066966677"
completada,2024-06-20,Dell Technologies Inc,DELL,stock,"10,00","0,065276707"
completada,2024-06-20,Advanced Micro Devices Inc,AMD,stock,"10,00","0,062309178"
completada,2024-06-20,NVIDIA Corp,NVDA,stock,"15,00","0,113877922"
completada,2024-06-20,Dell Technologies Inc,DELL,stock,"10,00","0,068199798"
completada,2024-06-20,Tesla Inc,TSLA,stock,"10,00","0,055397365"
completada,2024-06-21,NVIDIA Corp,NVDA,stock,"10,00","0,078511423"
completada,2024-06-21,Dell Technologies Inc,DELL,stock,"10,00","0,069707784"
completada,2024-06-24,NVIDIA Corp,NVDA,stock,"10,00","0,081861196"
completada,2024-06-24,Dell Technologies Inc,DELL,stock,"10,00","0,071107571"
completada,2024-06-24,NVIDIA Corp,NVDA,stock,"10,00","0,084020904"
completada,2024-06-25,Advanced Micro Devices Inc,AMD,stock,"10,00","0,063803179"
completada,2024-06-25,Avis Budget Group Inc,CAR,stock,"10,00","0,091905006"
completada,2024-06-26,Advanced Micro Devices Inc,AMD,stock,"10,00","0,063703194"
completada,2024-06-26,Advanced Micro Devices Inc,AMD,stock,"10,00","0,063656154"
completada,2024-06-26,Dell Technologies Inc,DELL,stock,"10,00","0,073519681"
